postcode,Suburb,state,long,lat
810,Tiwi,NT,130.866242,-12.381806
812,Leanyer,NT,130.89047,-12.39124885
820,Parap,NT,130.873315,-12.428017
829,Pinelands,NT,130.9597671,-12.45763297
830,Gray,NT,130.95807649999998,-12.52139649
832,Johnston,NT,130.99365509999998,-12.49684676
836,Humpty Doo,NT,131.10066799999998,-12.557754
837,Noonamah,NT,131.016647,-12.704767
838,Berry Springs,NT,131.0067348,-12.71878122
851,Katherine,NT,137.050719,-15.711424
871,Alice Springs,NT,131.298809,-21.949513
1710,EPPING,NSW,151.116696,-33.78417
1885,BANKSTOWN,NSW,151.024581,-33.907416999999995
1888,BANKSTOWN,NSW,151.024581,-33.907416999999995
2000,Sydney,NSW,151.2015802,-33.86051951
2009,Pyrmont,NSW,151.19305500000002,-33.871221999999996
2010,Darlinghurst,NSW,151.212262,-33.884119
2011,Woolloomooloo,NSW,151.22162600000001,-33.873599
2016,Redfern,NSW,151.206211,-33.894912
2017,Waterloo,NSW,151.206316,-33.903892
2020,Mascot,NSW,151.176775,-33.936178999999996
2021,Paddington,NSW,151.227236,-33.895705
2022,Bondi Junction,NSW,151.245049,-33.896401000000004
2025,Woollahra,NSW,151.240508,-33.888709999999996
2028,Double Bay,NSW,151.240965,-33.878413
2029,Rose Bay,NSW,151.266989,-33.875709
2030,Vaucluse,NSW,151.275977,-33.858378
2031,Randwick,NSW,151.23916699999998,-33.914832000000004
2032,Kingsford,NSW,151.223936,-33.930314
2033,Kensington,NSW,151.218435,-33.911390000000004
2034,COOGEE,NSW,151.252171,-33.929096
2035,Maroubra,NSW,151.241292,-33.945634999999996
2037,Glebe,NSW,151.184458,-33.880179
2038,Annandale,NSW,151.170165,-33.881624
2040,Leichardt,NSW,151.15681899999998,-33.878774
2041,Balmain,NSW,151.180095,-33.858556
2046,Five Dock,NSW,151.133865,-33.866044
2047,Drummoyne,NSW,151.165735,-33.853924
2049,Petersham,NSW,151.15085,-33.897219
2060,North Sydney,NSW,151.204557,-33.839863
2061,Milsons Point,NSW,151.212372,-33.848785
2062,Cammeray,NSW,151.21246000000002,-33.822837
2063,Northbridge,NSW,151.214797,-33.812636
2065,Wollstonecraft,NSW,151.192212,-33.828361
2066,Lane Cove,NSW,151.16091200000002,-33.818641
2067,Chatswood,NSW,151.17711,-33.798378
2068,Willoughby,NSW,151.20271499999998,-33.800881
2069,Roseville,NSW,151.195368,-33.780246000000005
2070,Lindfield,NSW,151.16200700000002,-33.78042
2071,Killara,NSW,151.1814551,-33.75536381
2072,Gordon,NSW,151.153176,-33.754582
2073,Pymble,NSW,151.130278,-33.757296000000004
2076,Wahroonga,NSW,151.108249,-33.723263
2077,Hornsby Heights,NSW,151.097508,-33.691922
2078,Forestville,,,
2079,Mt Colah,NSW,151.112681,-33.666637
2082,Berowa Heights,NSW,151.138709,-33.54620871
2084,Terrey hills,NSW,151.216929,-33.650999
2085,Manly,NSW,151.211719,-33.728782
2086,Frenchs Forest,NSW,151.22921100000002,-33.75185
2087,Killarnet Heights,NSW,151.210531,-33.766093
2088,Mosman,NSW,151.243351,-33.830687
2089,Neutral Bay,NSW,151.2228263,-33.84149573
2090,Cremorne,NSW,151.223094,-33.828949
2092,Seaforth,NSW,151.24181299999998,-33.796636
2093,Balgowlah,NSW,151.258069,-33.79315
2094,Fairlight,NSW,151.27324199999998,-33.795227000000004
2095,Manly,NSW,151.294675,-33.815482
2096,Freshwater,NSW,151.28493999999998,-33.776781
2097,Collaroy Plateau,NSW,151.29789499999998,-33.739577000000004
2099,Cromer,NSW,151.279999,-33.748914
2100,Allambie Heights,NSW,151.257781,-33.766409
2101,Narrabeen,NSW,151.27114,-33.707117
2102,Warriewood,NSW,151.290953,-33.689941
2103,Mona Vale,NSW,151.302825,-33.679336
2106,Newport,NSW,151.314599,-33.660707
2107,Avalon Beach,NSW,151.323289,-33.634816
2108,Palm Beach,NSW,151.32275900000002,-33.60382
2110,Hunters Hill,NSW,151.149126,-33.836102000000004
2111,Gladesville,NSW,151.12448799999999,-33.829953
2112,Ryde,NSW,151.10844699999998,-33.81658
2113,North Ryde,NSW,151.130233,-33.79419
2116,Chirnside Park,NSW,151.03694099999998,-33.814368
2117,Telopea,NSW,151.04218,-33.797127
2118,Carlingford,NSW,151.043518,-33.775596
2119,Cheltenham,NSW,151.064176,-33.755499
2120,Pennant Hills,NSW,151.07359,-33.731105
2121,Epping,NSW,151.079919,-33.774145000000004
2122,Eastwood,NSW,151.092072,-33.791357
2125,West Pennant Hills,NSW,151.03180700000001,-33.752645
2127,Sydney Olympic Park,NSW,151.076186,-33.85283
2130,SUMMER HILL,NSW,151.135883,-33.892783
2131,Ashfield,NSW,151.124008,-33.887602
2132,Croydon,NSW,151.11338500000002,-33.882419
2133,Croydon Park,NSW,151.102087,-33.898793
2134,Burwood,NSW,151.10175700000002,-33.880049
2135,Strathfield,NSW,151.08475900000002,-33.881009000000006
2136,Enfield,NSW,151.087741,-33.892944
2138,Concord West,NSW,151.086036,-33.846098
2144,Auburn,NSW,151.026756,-33.851867999999996
2145,Greystanes,NSW,150.9751544,-33.79382308
2146,Toongabbie,NSW,150.959508,-33.789374
2147,Seven Hills,NSW,150.93583600000002,-33.766075
2148,Blacktown,NSW,150.900547,-33.783751
2150,Parramatta,NSW,151.006506,-33.814463
2151,North Parramatta,NSW,151.01251100000002,-33.78709
2153,Baulkham Hills,NSW,150.955942,-33.731651
2154,Castle Hill,NSW,151.000948,-33.73238
2155,North Kellyville,NSW,150.931074,-33.731522999999996
2156,Kenthurst,NSW,150.974528,-33.656984
2160,Merrylands,NSW,150.976594,-33.835883
2161,Guildford,NSW,150.983724,-33.858335
2162,Chester Hill,NSW,151.004128,-33.88349
2165,Fairfield West,NSW,150.947496,-33.872434999999996
2166,Cabramatta,NSW,150.92937,-33.892738
2168,Ashcroft,NSW,150.87534499999998,-33.915939
2170,Casula,NSW,150.921448,-33.928391999999995
2176,Bossley Park,NSW,150.88526000000002,-33.872014
2177,Bonnyrigg,NSW,150.879379,-33.895053000000004
2190,Greenacre,NSW,151.05385800000002,-33.901925
2192,Belmore,NSW,151.089663,-33.921018
2193,Canterbury,NSW,151.12086000000002,-33.910308
2195,Lakemba,NSW,151.07693899999998,-33.924525
2196,Punchbowl,NSW,151.057799,-33.930089
2197,Bass Hill,NSW,150.998155,-33.901198
2198,Georges Hall,NSW,150.986277,-33.908788
2199,Yagoona,NSW,151.023171,-33.905586
2200,Bankstown,NSW,151.014937,-33.926559000000005
2203,Dulwich Hill,NSW,151.138999,-33.90441
2204,Marrickville,NSW,151.15553899999998,-33.912288000000004
2205,Wolli Creek,NSW,151.147956,-33.937551
2206,Earlwood,NSW,151.122881,-33.926056
2207,Bexley,NSW,151.119517,-33.948744
2208,Kingsgrove,NSW,151.098002,-33.942632
2209,Beverly Hills,NSW,151.07530400000002,-33.94913
2210,Peakhurst,NSW,151.052257,-33.957725
2211,Padstow,NSW,151.03221000000002,-33.961366
2213,Panania,NSW,150.997836,-33.964102000000004
2216,Rockdale,NSW,151.148204,-33.955393
2217,Ramsgate,NSW,151.140345,-33.974354
2218,Carlton,NSW,151.117453,-33.973161
2219,Dolls Point,NSW,151.132495,-33.996587
2221,South Hurstville,NSW,151.10599,-33.992159
2228,Miranda,NSW,151.101564,-34.037692
2229,Caringbah,NSW,151.120091,-34.05494
2230,Cronulla,NSW,151.136596,-34.093213
2232,Kirrawee,NSW,151.06432900000001,-34.061753
2233,Engadine,NSW,151.027919,-34.114626
2234,Illawong,NSW,151.004412,-34.021938
2250,Somersby,NSW,151.189243,-33.325373
2251,Kincumber,NSW,151.401999,-33.482209000000005
2257,Umina Beach,NSW,151.374403,-33.520358
2259,Kanwal,NSW,151.37721299999998,-33.208801
2260,Terrigal,NSW,151.436939,-33.42537
2261,Bateau Bay,NSW,151.519708,-33.315827
2262,Budgewoi,NSW,151.528042,-33.209125
2263,Gorokan,NSW,151.556223,-33.285097
2280,Belmont,NSW,151.663175,-33.019715000000005
2283,Toronto,NSW,151.57181,-33.019117
2284,Speers Point,NSW,151.621183,-32.953236
2285,Edgeworth,NSW,151.651095,-32.933305
2286,West Wallsend,NSW,151.532669,-32.923321
2289,Adamstown Heights,NSW,151.71008,-32.948567
2290,Redhead,NSW,151.707801,-32.983963
2291,Merewether,NSW,151.742882,-32.951039
2300,Cooks Hill,NSW,151.778021,-32.931635
2302,Newcastle West,NSW,151.752466,-32.931265
2305,New Lambton,NSW,151.706545,-32.930221
2320,Bolwarra,NSW,151.543675,-32.741737
2321,Duckenfield,NSW,151.683702,-32.660185999999996
2322,Woodberry,NSW,151.65415,-32.819819
2323,East Maitland,NSW,151.607554,-32.757616
2325,Kearsley,NSW,151.317476,-32.977861
2333,Muswellbrook,NSW,150.701949,-32.248568
2350,Armidale,NSW,151.906153,-30.493396999999998
2421,Paterson,NSW,151.543017,-32.601853000000006
2430,Old Bar,NSW,152.503209,-31.899310999999997
2431,South West Rocks,NSW,153.053789,-30.925233000000002
2439,Kendall,NSW,152.652155,-31.654721999999996
2440,Hat Head,NSW,153.019648,-30.375790999999996
2443,Laurieton,NSW,152.747152,-31.725436
2444,Port Macquarie,NSW,152.87253,-31.439614000000002
2445,Bonny Hills,NSW,152.820899,-31.583037
2446,Wauchope,NSW,152.466916,-31.387394
2448,Nambucca Heads,NSW,152.956681,-30.604667
2450,Coffs Harbour,NSW,152.658268,-30.097726
2452,Sawtell,NSW,153.08188,-30.357167999999998
2454,Bellingen,NSW,152.84026599999999,-30.459807
2455,Urunga,NSW,152.96348,-30.529365999999996
2456,Woolgoolga,NSW,153.14340900000002,-30.073663
2460,Grafton,NSW,153.271074,-29.320771999999998
2462,Wooli,NSW,153.187047,-29.829194
